12/Nov/2017:23:01:23 +0000 127.0.0.1 "GET / HTTP/1.0" 200 - 0.657 ms "-" - "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/MRA58N) AppleWebKit/537.36(KHTML, like Gecko) Chrome/61.0.3116.0 Mobile Safari/537.36"
12/Nov/2017:23:01:23 +0000 127.0.0.1 "GET /js/concat.js HTTP/1.0" 200 - 0.915 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/MRA58N) AppleWebKit/537.36(KHTML, like Gecko) Chrome/61.0.3116.0 Mobile Safari/537.36"
12/Nov/2017:23:01:23 +0000 127.0.0.1 "GET /models/model.js HTTP/1.0" 200 - 0.432 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/MRA58N) AppleWebKit/537.36(KHTML, like Gecko) Chrome/61.0.3116.0 Mobile Safari/537.36"
12/Nov/2017:23:01:23 +0000 127.0.0.1 "GET /images/0.svg HTTP/1.0" 200 - 0.723 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/MRA58N) AppleWebKit/537.36(KHTML, like Gecko) Chrome/61.0.3116.0 Mobile Safari/537.36"
12/Nov/2017:23:01:24 +0000 127.0.0.1 "GET /styles/style.css HTTP/1.0" 200 - 1.703 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/MRA58N) AppleWebKit/537.36(KHTML, like Gecko) Chrome/61.0.3116.0 Mobile Safari/537.36"
12/Nov/2017:23:01:24 +0000 127.0.0.1 "GET /styles/toastr.min.css HTTP/1.0" 200 - 3.620 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/MRA58N) AppleWebKit/537.36(KHTML, like Gecko) Chrome/61.0.3116.0 Mobile Safari/537.36"
12/Nov/2017:23:01:26 +0000 127.0.0.1 "GET /sw.js HTTP/1.0" 200 - 2.173 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:23:01:26 +0000 127.0.0.1 "GET / HTTP/1.0" 304 - 1.237 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:23:01:26 +0000 127.0.0.1 "GET /styles/style.css HTTP/1.0" 304 - 8.595 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:23:01:26 +0000 127.0.0.1 "GET /styles/toastr.min.css HTTP/1.0" 304 - 13.638 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:23:01:26 +0000 127.0.0.1 "GET /js/concat.js HTTP/1.0" 304 - 15.250 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:23:01:26 +0000 127.0.0.1 "GET /images/0.svg HTTP/1.0" 304 - 15.530 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:23:01:26 +0000 127.0.0.1 "GET /models/model.js HTTP/1.0" 304 - 15.676 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:23:01:26 +0000 127.0.0.1 "GET /manifest.json HTTP/1.0" 200 - 19.809 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:23:01:26 +0000 127.0.0.1 "GET /images/2.svg HTTP/1.0" 200 - 20.130 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:23:01:26 +0000 127.0.0.1 "GET /images/3.svg HTTP/1.0" 200 - 20.359 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:23:01:26 +0000 127.0.0.1 "GET /images/launcher-icon-1x.png HTTP/1.0" 200 - 24.452 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:23:01:26 +0000 127.0.0.1 "GET /images/launcher-icon-4x.png HTTP/1.0" 200 - 26.967 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:23:01:26 +0000 127.0.0.1 "GET /images/1.svg HTTP/1.0" 200 - 32.771 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:23:01:26 +0000 127.0.0.1 "GET /controllers/controller.js HTTP/1.0" 200 - 35.708 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
